u,v,mean_abs_dct_original,mean_abs_dct_lowlight,mean_abs_dct_clahe
0,0,7.971547,2.393930,3.762360
0,1,0.311068,0.095344,0.230716
0,2,0.159065,0.050880,0.122129
0,3,0.093888,0.031824,0.075227
0,4,0.066566,0.023810,0.055394
0,5,0.048455,0.018574,0.042867
0,6,0.036910,0.015102,0.034250
0,7,0.029343,0.012982,0.029157
1,0,0.338022,0.103446,0.251201
1,1,0.182474,0.057962,0.141159
1,2,0.115174,0.038257,0.092812
1,3,0.074850,0.026547,0.063030
1,4,0.053646,0.020268,0.047342
1,5,0.040899,0.016447,0.038000
1,6,0.032438,0.013938,0.031594
1,7,0.026559,0.012272,0.027309
2,0,0.177945,0.056543,0.135000
2,1,0.123342,0.040753,0.098784
2,2,0.089555,0.030832,0.074887
2,3,0.064408,0.023336,0.055658
2,4,0.048167,0.018642,0.043900
2,5,0.037441,0.015415,0.035829
2,6,0.029899,0.013140,0.029835
2,7,0.025260,0.011813,0.026344
3,0,0.110262,0.036624,0.086046
3,1,0.085492,0.029449,0.070834
3,2,0.067152,0.024401,0.058584
3,3,0.052691,0.020008,0.047451
3,4,0.041775,0.016594,0.038785
3,5,0.033985,0.014302,0.033017
3,6,0.027934,0.012419,0.028246
3,7,0.023969,0.011278,0.025375
4,0,0.076977,0.026852,0.062884
4,1,0.060763,0.022249,0.052743
4,2,0.052496,0.019958,0.047360
4,3,0.043213,0.017182,0.040660
4,4,0.035587,0.014744,0.034400
4,5,0.029510,0.012832,0.029573
4,6,0.025775,0.011602,0.026455
4,7,0.022421,0.010652,0.023939
5,0,0.055314,0.020397,0.047117
5,1,0.046496,0.017888,0.042012
5,2,0.041082,0.016456,0.038713
5,3,0.035303,0.014757,0.034805
5,4,0.030868,0.013286,0.030729
5,5,0.026047,0.011752,0.026930
5,6,0.022570,0.010658,0.023926
5,7,0.021262,0.010174,0.022976
6,0,0.042691,0.016597,0.038102
6,1,0.036477,0.014886,0.034463
6,2,0.032485,0.013825,0.031945
6,3,0.029120,0.012809,0.029435
6,4,0.027178,0.012039,0.027880
6,5,0.023239,0.010778,0.024349
6,6,0.020761,0.010002,0.022492
6,7,0.019240,0.009460,0.021289
7,0,0.033144,0.013911,0.031567
7,1,0.029578,0.013035,0.029537
7,2,0.027842,0.012482,0.028494
7,3,0.025446,0.011625,0.026565
7,4,0.023494,0.010930,0.024722
7,5,0.021348,0.010185,0.023121
7,6,0.019345,0.009439,0.021299
7,7,0.017709,0.008896,0.019903
